text	label
Golf Ground: Barnes leads Australia -- Kurt Barnes shot 65 below six in the Australian Open, marking Australia's 100th anniversary, and took the lead on Thursday by two feet.	1
They're mad, they're mad, they're trying to get to the last place in the playoffs, and they've lost 13 leads, they've lost 16-16, they've lost 500, they've lost 73-58 in the Seattle Hurricane on Wednesday night in Kearna.	1
You can make a billion dollars profit on the London Olympics, but your favorite city in Paris, London, November 18 -- London's proposal for the 2012 Olympics, London's proposal for the 2012 Olympics, can make a billion dollars profit, and that profit can be put back into grassroots sport.	1
Singh is taking the lead in Boston, Vijay Singh is leading the payroll for the PGA Tour #39, he's chasing this year's Player of the Year award, and on Sunday he moved another big award to 18 holes.	1
Golf: Tenson at WOBURN, UK: Henryk Tenson in Sweden won his first European Tour title in three years, and Henryk Tenson won the Heritage Tour by winning four.	1
In the first round of the Australian Open, which celebrates its 100th anniversary, Kurt Barnes held a two-stroke lead Thursday after shooting a 6-under-par 65.	1
Loss has Mercury strives to maintain the final position in the playoffs The Mercury strives to lose 13 points and fell a.500 in 16-16 with a 73-58 loss to Seattle storm in KeyArena on Wednesday night.	1
100 million profits for London Olympics, but favourite Paris London, November 18 - London #39;s offer for the 2012 Olympics could make a profit of 100 million that would be replanned in basic sport, emerged today, while a strong offer from Paris launched yesterday, highlighting.	1
Singh remains in the lead in Boston Vijay Singh leads the PGA Tour #39;s money list by an increasing margin.	1
Golf: Stenson ends three years of waiting for WOBURN title, England : Sweden #39;s Henrik Stenson won his first European Tour title for three years when he won a four-shot victory at the Heritage Tournament.	1
Golfing roundup: Barnes leads Australia Kurt Barnes took a two-wicket lead on Thursday after taking a 6 away from the 65ers in the first round of the Australian Open, marking his 100th birthday.	1
The losing side, Mercury, is struggling to stay in the finals of the playoffs, and Mercury lost by a score of 13 and plunged to.500 to 16-16 with a 73-58 loss to Seattle's Storm of KeyArena on Wednesday night.	1
100 million profit for the London Olympics, but preferred Paris London, Nov. 18 — London #39; the 2012 Olympic bid could make a 100 million profit that would be reused for popular sport, emerged today, while a strong Paris bid launched yesterday, emphasizing	1
Singh maintains leadership in Boston Vijay Singh leads the PGA Tour money list at #39 on a rising margin. He's running away with the prize-winning player of the year, and on Sunday he moved into 18 holes in another big prize.	1
Golf: Stenson ends three years of waiting for WOBURN title, England: Sweden's #39 Henrik Stenson won his first European Tour title in three years when he scored a four-wicket victory at the Heritage tournament.	1
Barnes leads Australia On Thursday, Kurt Barnes led the Australian Open by two wickets in the first round of the six-minute-65-second Australian Open, which is celebrating its 100th anniversary.	1
Mercury lost 73–58 in the Seattle storm on Wednesday night, 13 points ahead, dropping to.500 in 16–16.	1
A billion-dollar profit for London Olympics, but Paris' favourite London, November 18 -- The London 2012 Olympic bid could generate a billion-dollar profit and be reinvested in grass-roots sport, as it emerges today, while a strong bid in Paris was launched yesterday, stressing	1
He leads the PGA Tour with an ever-widening margin, competing with the best player of the year.	1
