,text,label
0,"Although it might sound strange, dreaming about pigs is said to bring good fortune in Korea. In early Korea, pigs symbolized money and wealth.",1
1,The Seoul Capital Area houses over half of the population of South Korea.,1
2,"Also known as Sudogwon, the Seoul Capital Area refers to South Korea’s metropolitan region of Seoul, Incheon, and Gyeonggi-do. ",1
3,SoKor harvests over 90% of the seaweed consumed around the world.,1
4,Parasite was the film to be nominated for the Oscars.,1
5,"Bong Joon Ho’s Parasite made history for bagging 3 awards at the 2020 Oscars, which was the most of any film nominated.",1
6,"Cheju, North Chŏlla, South Chŏlla, North Ch’ungch’ŏng, South Ch’ungch’ŏng, Kangwŏn, Kyŏnggi, North Kyŏngsang, and South Kyŏngsang.",1
7, Its 3-year-long war in the 1950s was followed by a ceasefire signed between North and South Korea.,1
8,The Cheomseongdae Observatory was built at Gyeongju in the mid-600s.,1
9,"In 2012, the first robotic prison guards in the world were utilized in Pohang",1
10,"The Shinsegae Department Store has been standing in Centum City, Busan since 2009.",1
11,Jinro Soju has been the best-selling liquor in the world for 11 consecutive years.,1
12,Hyundai KIA is the 5th largest automaker in the world and 2nd largest in Asia.,1
13,South Koreans have the highest estimated IQ in the whole world.,1
14,"Other common family names in the country are Lee, also spelled Ree or Yi, and Park that is also spelled as Pak.",1
15,"In Jeju Island, it is traditional for women to go to work while the husbands stay home.",1
16,An estimated 1 out of 3-5 women in the country have already undergone at least 1 cosmetic procedure.,1
17,Figure skater Yuna Kim was the first Korean winner of any Olympic figure skating discipline.,1
18,"Hangul classifies as one of the Altaic languages, is affiliated to Japanese, and  contains some Chinese loanwords.",1
19,Hangul has phonetic symbols for 10 vowels and 14 consonants. ,1
20,Hallyu refers to the wave of popular culture,1
21,"You may be familiar with it from the sudden surge in popularity of Korean cooking, K-pop, K-drama, and Korean streetwear.",1
22,"Western influences have changed how the hanbok looks, but it remains the traditional dress for the country. ",1
23,"Also known as ‘Meeting’ or ‘Sogaeting,’ these gatherings are an avenue for young university students to meet over drinks and meals.",1
24,The ‘ondol’ or warm stone generates heat through pipes beneath the flooring. ,1
25,Eyelid surgery is the most common cosmetic procedure done in Korea.,1
26,"Aside from the usual staples like rice, soup or stew, South Koreans love side dishes.",1
27,"Jjajangmyeon is a black-bean sauce noodle, while bulgogi is marinated meat that must be grilled over charcoal.",1
28,it is best to eat octopus raw.,1
29,"The annual Kimjang festival takes place in Gwangju, a city in the southwest region of the country.",1
30,Over 20 million residents travel to their hometowns annually for the Harvest Moon Festival.,1
31,"For 10 days of the event, mud massages, mud marathons, mud wrestling contests, and mud photo contests are up for revelers to enjoy. Originally, it started in 1998 as a strategy to advertise mud cosmetics.",1
32,"At Deulmusae, there is a penis-themed restaurant that features Jaji or penis statues lined up along the path to the restaurant.",1
33,"In the 21st century, K-pop rose as an international phenomenon, becoming one of the country’s most visible cultural exports.",1
34,BTS was the first K-pop artist to reach #1 in the US Billboard 200 chart.,1
35,"Moreover, the worldwide following of BTS earned the group numerous world records.",1
36,"Hence, Hallyu has become an economic cultural asset that has brought revenue and tourists to the country’s economy",1
37,"Traditionally, snacking on rice cakes or Korean hard taffy is said to help the person “stick” to what they learned and pass.",1
38,The national flower of South Korea is the Mugunghwa or Rose of Sharon.,1
39,"Along its beaches, there are giant stone statues known as dol hareubang or old grandfather",1
40,"Son Heung-min’s spectacular 13-minute hat-trick against Leicester on Saturday ended his eight-game barren run,",1
41,"As those Tottenham matches came and went without a goal, the mood back in east Asia grew ever gloomier, becoming darkest just before the Seoul dawn last week when the forward was substituted in the 2-0 defeat against Sporting in Lisbon.",1
42,The last time the 30-year-old arrived at Incheon International Airport was in May when he held the Premier League golden boot aloft for adoring fans and excited photographers. ,1
