,based-type,category,f1,acc,prec,rec
0,UCDF_ss_10000,history,0.8467,0.8497,0.862,0.8541
0,UCDF_ss_10000,lifestyle,0.8053,0.7938,0.7865,0.8486
0,UCDF_ss_10000,nature,0.796,0.7804,0.7398,0.8834
0,UCDF_ss_10000,science,0.8022,0.8026,0.8114,0.8107
0,UCDF_ss_10000,world,0.8213,0.8282,0.8538,0.8037
0,UCDF_ss_500,history,0.846,0.8529,0.8755,0.8447
0,UCDF_ss_500,lifestyle,0.8196,0.8112,0.8048,0.859
0,UCDF_ss_500,nature,0.8129,0.784,0.7385,0.9164
0,UCDF_ss_500,science,0.8021,0.7958,0.7916,0.8354
0,UCDF_ss_500,world,0.7956,0.804,0.8324,0.7862
0,gpt3_davinci_zero_shot,history,0.0044,0.4982,0.0881,0.0023
0,gpt3_davinci_zero_shot,lifestyle,0.0066,0.4974,0.1636,0.0034
0,gpt3_davinci_zero_shot,nature,0.0055,0.4977,0.1389,0.0028
0,gpt3_davinci_zero_shot,science,0.0126,0.4998,0.2727,0.0065
0,gpt3_davinci_zero_shot,world,0.0007,0.4979,0.0354,0.0004
0,gpt3_davinci_five_shot,history,0.5816,0.5702,0.582,0.6131
0,gpt3_davinci_five_shot,lifestyle,0.5635,0.5642,0.5593,0.5941
0,gpt3_davinci_five_shot,nature,0.55,0.5624,0.5672,0.5564
0,gpt3_davinci_five_shot,science,0.5456,0.5537,0.5642,0.556
0,gpt3_davinci_five_shot,world,0.6116,0.5906,0.587,0.6594
0,gpt3_davinci_three_shot,history,0.5159,0.4471,0.4576,0.6048
0,gpt3_davinci_three_shot,lifestyle,0.503,0.4573,0.4576,0.5892
0,gpt3_davinci_three_shot,nature,0.457,0.429,0.4253,0.5079
0,gpt3_davinci_three_shot,science,0.4963,0.424,0.4363,0.5876
0,gpt3_davinci_three_shot,world,0.5474,0.4659,0.4711,0.6674
0,gpt3_davinci_one_shot,history,0.2368,0.495,0.5331,0.193
0,gpt3_davinci_one_shot,lifestyle,0.23,0.5112,0.5507,0.1912
0,gpt3_davinci_one_shot,nature,0.1665,0.5151,0.5706,0.1123
0,gpt3_davinci_one_shot,science,0.2044,0.5198,0.6069,0.1455
0,gpt3_davinci_one_shot,world,0.1729,0.5018,0.4881,0.1396
0,gpt3_ada_zero_shot,history,0.001,0.4979,0.0536,0.0005
0,gpt3_ada_zero_shot,lifestyle,0.001,0.4987,0.0543,0.0005
0,gpt3_ada_zero_shot,nature,0.0035,0.4975,0.1343,0.0018
0,gpt3_ada_zero_shot,science,0.0015,0.4985,0.0455,0.0007
0,gpt3_ada_zero_shot,world,0.0024,0.4988,0.0973,0.0012
0,gpt3_ada_one_shot,history,0.5342,0.5357,0.5581,0.5499
0,gpt3_ada_one_shot,lifestyle,0.5505,0.5712,0.584,0.5603
0,gpt3_ada_one_shot,nature,0.5475,0.5584,0.5717,0.5618
0,gpt3_ada_one_shot,science,0.5433,0.575,0.6035,0.5429
0,gpt3_ada_one_shot,world,0.5492,0.5475,0.5606,0.5817
0,gpt3_ada_three_shot,history,0.5339,0.5176,0.539,0.5844
0,gpt3_ada_three_shot,lifestyle,0.527,0.5486,0.5621,0.5472
0,gpt3_ada_three_shot,nature,0.5967,0.5884,0.581,0.645
0,gpt3_ada_three_shot,science,0.5399,0.5692,0.5899,0.5565
0,gpt3_ada_three_shot,world,0.5596,0.5396,0.5476,0.622
0,gpt3_ada_five_shot,history,0.4881,0.5239,0.5489,0.4901
0,gpt3_ada_five_shot,lifestyle,0.4845,0.5588,0.5918,0.4673
0,gpt3_ada_five_shot,nature,0.567,0.5949,0.6024,0.5688
0,gpt3_ada_five_shot,science,0.4717,0.5739,0.6051,0.4445
0,gpt3_ada_five_shot,world,0.5257,0.5397,0.555,0.5456
0,random,history,0.494,0.4973,0.4995,0.4904
0,random,lifestyle,0.5016,0.4976,0.4988,0.5062
0,random,nature,0.5084,0.5043,0.5057,0.5126
0,random,science,0.4847,0.4841,0.4853,0.485
0,random,world,0.5021,0.5008,0.5024,0.5029
0,only_query,history,0.6933,0.7616,0.898,0.6292
0,only_query,lifestyle,0.6969,0.7384,0.847,0.6587
0,only_query,nature,0.6288,0.7243,0.8804,0.5632
0,only_query,science,0.5454,0.6795,0.8797,0.4544
0,only_query,world,0.5666,0.6966,0.9024,0.4681
0,tok_freq,history,0.4247,0.5566,0.6148,0.3573
0,tok_freq,lifestyle,0.5797,0.6539,0.7012,0.5445
0,tok_freq,nature,0.7164,0.736,0.7581,0.7
0,tok_freq,science,0.5874,0.6672,0.7125,0.5412
0,tok_freq,world,0.4534,0.5505,0.5808,0.4087
