,based-type,category,f1,acc,prec,rec
0,UCDF_ss_10000,animals,0.8092,0.7998,0.7599,0.8884
0,UCDF_ss_10000,biology,0.7509,0.7302,0.6963,0.8244
0,UCDF_ss_10000,chemistry,0.7993,0.7905,0.757,0.8477
0,UCDF_ss_10000,cities,0.759,0.7645,0.8039,0.7287
0,UCDF_ss_10000,countries,0.8548,0.8596,0.8879,0.8352
0,UCDF_ss_10000,culture,0.8091,0.7822,0.7726,0.8695
0,UCDF_ss_10000,entertainment,0.8137,0.8134,0.8367,0.8142
0,UCDF_ss_10000,food,0.8034,0.7775,0.74,0.8946
0,UCDF_ss_10000,geography,0.7814,0.7886,0.8076,0.7707
0,UCDF_ss_10000,health,0.6557,0.6546,0.6536,0.6579
0,UCDF_ss_10000,historical-events,0.7876,0.7988,0.8209,0.7872
0,UCDF_ss_10000,human-body,0.8052,0.7705,0.709,0.9366
0,UCDF_ss_10000,landmarks,0.912,0.9135,0.9299,0.9015
0,UCDF_ss_10000,people,0.8774,0.8869,0.9056,0.8694
0,UCDF_ss_10000,plants,0.7324,0.6601,0.6326,0.9001
0,UCDF_ss_10000,religion,0.7855,0.7652,0.7287,0.8567
0,UCDF_ss_10000,sports,0.8091,0.8048,0.7953,0.8442
0,UCDF_ss_10000,technology,0.8278,0.8305,0.8533,0.825
0,UCDF_ss_10000,universe,0.732,0.7071,0.6702,0.8187
0,UCDF_ss_10000,us-states,0.7277,0.742,0.7635,0.7137
0,UCDF_ss_500,animals,0.8239,0.7991,0.755,0.9182
0,UCDF_ss_500,biology,0.7234,0.71,0.6899,0.7678
0,UCDF_ss_500,chemistry,0.7857,0.7671,0.7145,0.8788
0,UCDF_ss_500,cities,0.7351,0.7466,0.7997,0.6977
0,UCDF_ss_500,countries,0.8508,0.8581,0.893,0.8231
0,UCDF_ss_500,culture,0.7598,0.7482,0.7745,0.7853
0,UCDF_ss_500,entertainment,0.8126,0.8126,0.8436,0.8089
0,UCDF_ss_500,food,0.8303,0.8084,0.7642,0.922
0,UCDF_ss_500,geography,0.8015,0.7928,0.7818,0.8345
0,UCDF_ss_500,health,0.6467,0.6513,0.6554,0.6382
0,UCDF_ss_500,historical-events,0.7915,0.8016,0.8044,0.8071
0,UCDF_ss_500,human-body,0.795,0.7687,0.7335,0.8831
0,UCDF_ss_500,landmarks,0.807,0.7996,0.7996,0.857
0,UCDF_ss_500,people,0.8876,0.899,0.9306,0.871
0,UCDF_ss_500,plants,0.7611,0.6768,0.628,0.9823
0,UCDF_ss_500,religion,0.7734,0.7659,0.7384,0.8223
0,UCDF_ss_500,sports,0.8342,0.8378,0.8307,0.8552
0,UCDF_ss_500,technology,0.8231,0.8238,0.8419,0.8365
0,UCDF_ss_500,universe,0.7737,0.7348,0.6762,0.906
0,UCDF_ss_500,us-states,0.7098,0.7298,0.7564,0.7033
0,gpt3_davinci_zero_shot,animals,0.0057,0.4978,0.1341,0.0029
0,gpt3_davinci_zero_shot,biology,0.0,0.4849,0.0,0.0
0,gpt3_davinci_zero_shot,chemistry,0.0251,0.5057,0.6667,0.0128
0,gpt3_davinci_zero_shot,cities,0.0,0.4943,0.0,0.0
0,gpt3_davinci_zero_shot,countries,0.0006,0.4982,0.0377,0.0003
0,gpt3_davinci_zero_shot,culture,0.0,0.4972,0.0,0.0
0,gpt3_davinci_zero_shot,entertainment,0.0054,0.4998,0.1447,0.0028
0,gpt3_davinci_zero_shot,food,0.0079,0.4954,0.1965,0.0041
0,gpt3_davinci_zero_shot,geography,0.0083,0.498,0.2857,0.0042
0,gpt3_davinci_zero_shot,health,0.0,0.4967,0.0,0.0
0,gpt3_davinci_zero_shot,historical-events,0.0,0.4975,0.0,0.0
0,gpt3_davinci_zero_shot,human-body,0.0069,0.5013,0.25,0.0035
0,gpt3_davinci_zero_shot,landmarks,0.0017,0.499,0.0526,0.0009
0,gpt3_davinci_zero_shot,people,0.0071,0.4988,0.141,0.0037
0,gpt3_davinci_zero_shot,plants,0.0,0.4983,0.0,0.0
0,gpt3_davinci_zero_shot,religion,0.0,0.4966,0.0,0.0
0,gpt3_davinci_zero_shot,sports,0.0072,0.4967,0.1488,0.0037
0,gpt3_davinci_zero_shot,technology,0.0144,0.5022,0.2,0.0075
0,gpt3_davinci_zero_shot,universe,0.0053,0.4945,0.1429,0.0027
0,gpt3_davinci_zero_shot,us-states,0.0006,0.4979,0.0333,0.0003
0,gpt3_davinci_five_shot,animals,0.5588,0.5698,0.577,0.5674
0,gpt3_davinci_five_shot,biology,0.5722,0.5441,0.5502,0.6209
0,gpt3_davinci_five_shot,chemistry,0.68,0.5996,0.5646,0.8573
0,gpt3_davinci_five_shot,cities,0.5665,0.5772,0.5911,0.5706
0,gpt3_davinci_five_shot,countries,0.6304,0.6068,0.6002,0.6806
0,gpt3_davinci_five_shot,culture,0.6467,0.625,0.6673,0.7002
0,gpt3_davinci_five_shot,entertainment,0.5783,0.578,0.5687,0.6235
0,gpt3_davinci_five_shot,food,0.5532,0.5698,0.5663,0.5624
0,gpt3_davinci_five_shot,geography,0.4839,0.5362,0.5692,0.4342
0,gpt3_davinci_five_shot,health,0.5766,0.5362,0.5304,0.6316
0,gpt3_davinci_five_shot,historical-events,0.5765,0.5731,0.5899,0.5826
0,gpt3_davinci_five_shot,human-body,0.514,0.5255,0.5252,0.5103
