,based-type,category,f1,acc,prec,rec
0,UCDF_ss_10000,Total,0.8175,0.8161,0.8204,0.8358
0,UCDF_ss_500,Total,0.8128,0.8102,0.8158,0.8368
0,gpt3_davinci_zero_shot,Total,0.0042,0.498,0.103,0.0022
0,gpt3_davinci_five_shot,Total,0.5818,0.5745,0.5763,0.6132
0,gpt3_davinci_three_shot,Total,0.5137,0.4509,0.4552,0.6074
0,gpt3_davinci_one_shot,Total,0.1954,0.5058,0.5309,0.1534
0,gpt3_ada_zero_shot,Total,0.002,0.4984,0.0851,0.001
0,gpt3_ada_one_shot,Total,0.5457,0.5531,0.5691,0.5656
0,gpt3_ada_three_shot,Total,0.5549,0.5481,0.5576,0.6022
0,gpt3_ada_five_shot,Total,0.5155,0.5525,0.5722,0.5192
0,random,Total,0.5003,0.499,0.5006,0.5015
0,only_query,Total,0.6215,0.7196,0.887,0.5459
0,tok_freq,Total,0.5268,0.6113,0.6492,0.4844
